sample,Hash,nReads
CP_201711C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,2965
FH_201710A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,251
FH_201711A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,6201
CP_201711A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,2580
CP_201710B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,3455
CP_201709C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,906
CP_201710A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,1698
FH_201709C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,421
LK_201709B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,4333
LK_201710B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,1288
CP_201711A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,3297
CP_201711B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,1005
FH_201711B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,3536
LK_201709C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,1077
FH_201711A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,5667
CP_201711B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,4226
FH_201710A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,350
CP_201711A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,5784
FH_201710B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,109
CP_201710B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,1099
CP_201710C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,1474
LK_201709A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,386
CP_201710B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,923
LK_201709B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,174
CP_201709B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,950
LK_201711B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,3805
CP_201710C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,798
LK_201709A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,77
CP_201709C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,722
FH_201709A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,290
FH_201711C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,7594
FH_201709B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,1084
CP_201709A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,613
LK_201711A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,4734
CP_201711B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,7633
LK_201709A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,239
LK_201710A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,3941
FH_201711A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,7531
CP_201709B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,695
LK_201709C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,3131
LK_201711C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,1086
LK_201710A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,632
FH_201710B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,156
CP_201709A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,700
CP_201710A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,468
CP_201709B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,247
LK_201711A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,3266
FH_201709B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,850
LK_201711C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,1937
FH_201710A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,197
FH_201711C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,2095
CP_201711C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,5100
FH_201710B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,679
LK_201709B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,240
LK_201710B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,1109
LK_201710C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,757
FH_201709A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,812
FH_201710C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,710
FH_201711B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,8757
FH_201710C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,1594
LK_201710C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,789
CP_201710A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,4243
CP_201711C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,21919
CP_201710C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,3838
LK_201710A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,194
LK_201710C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,1663
FH_201709A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,713
LK_201709C.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1902
FH_201711C.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,2209
LK_201711B.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2365
FH_201709C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,1026
FH_201710C.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2153
FH_201711B.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1124
CP_201709A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2753
FH_201709B.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,718
CP_201711C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,958
FH_201710A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,2728
FH_201711A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,3255
CP_201711A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,1322
CP_201710B.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1462
CP_201709C.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,3540
CP_201710A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1299
FH_201709C.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,993
LK_201709B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,5721
