ID,Kingdom,PhylumDivision,Class,Order,Family,Genus,Species,CommonName,Nonindigenous,EarlyLifeMinerology,AdultMinerology,PugetSoundReference,EarlyLifeMineralReference,AdultMineralReference,SpeciesTaxonomyReference
562,Animalia,Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,opalescens,"Pacific squid, opalescent squid, markey squid",,Aragonite,Aragonite,WDFW,Jackson and Moltschaniwskyj 1999,"Radtke 1983, Dilly 1976",ITIS
563,Animalia,Mollusca,Cephalopoda,Teuthida,Ommastrephidae,Dosidicus,gigas,Humboldt squid,,Aragonite,Aragonite,WDFW,Jackson and Moltschaniwskyj 1999,"Radtke 1983, Dilly 1976",ITIS
564,Animalia,Annelida,Errantia,Eunicida,Oenonidae,Drilonereis,falcata,,,No mineralization,No mineralization,Lie 1965; PSMEP_Benthic_Inverts(Moore 1911),Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
565,Animalia,Annelida,Errantia,Eunicida,Oenonidae,Drilonereis,filum,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
566,Animalia,Annelida,Errantia,Eunicida,Oenonidae,Drilonereis,nuda,,,No mineralization,No mineralization,Lie 1965; PSMEP_Benthic_Inverts(Moore 1909),Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
567,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,salina,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
568,Protozoa,Protozoa,Ebriophyceae,Ebriales,Ebriaceae,Ebria,tripartita,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
569,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Eccentric Sand Dollar,,Amorphous,"High Mg Calcite, Amorphous",Emerald Diving; PSMEP_Benthic_Inverts((Eschscholtz 1831)),"Politi 2004, Fabry et al 2008","Dickson et al 2004, Dupont et al 08, Clark etal 09",ITIS
570,Animalia,Annelida,Sedentaria,Echiurida,Echiuridae,Echiurus,echiurus,"Alaska Spoonworm, Fat Inkeeper",,No mineralization,No mineralization,WSU Beachwatchers; PSMEP_Benthic_Inverts(Fisher 1946),Assumed no mineralization as none in adult,UC Museum of Paleontology,ITIS
571,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,acutus,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
