ID,Kingdom,PhylumDivision,Class,Order,Family,Genus,Species,CommonName,Nonindigenous,EarlyLifeMinerology,AdultMinerology,PugetSoundReference,EarlyLifeMineralReference,AdultMineralReference,SpeciesTaxonomyReference
1,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,saxatilis,,,Non-CaCO3 mineral,Non-CaCO3 mineral,Scagel et al 1989,Assumed no CaCO3 structures as none in adult,Leilaert and Coppejans 2004,AlgaeBase
2,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spinescens,,,Non-CaCO3 mineral,Non-CaCO3 mineral,Scagel et al 1989,Assumed no CaCO3 structures as none in adult,Leilaert and Coppejans 2004,AlgaeBase
3,Chromista,Miozoa,Dinophyceae,Actiniscales,Actiniscaceae,Actiniscus,pentasterias,,,No mineralization,No mineralization,"Rita Horner, personal communication",Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
4,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,senarius,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
5,Animalia,Porifera,Demospongiae,Poecilosclerida,Chalinidae,Adocia,_intentionally left blank,Pale Orange Carpet Sponge,,Non-CaCO3 mineral,Non-CaCO3 mineral,Emerald Diving,Assumed no CaCO3 structures as none in adult,Barnes et al 2001,ITIS
6,Animalia,Porifera,Demospongiae,Poecilosclerida,Chalinidae,Adocia,_intentionally left blank,White Sponge,,Non-CaCO3 mineral,Non-CaCO3 mineral,Emerald Diving,Assumed no CaCO3 structures as none in adult,Barnes et al 2001,ITIS
7,Animalia,Mollusca,Bivalvia,Veneroida,Thyasiridae,Adontorhina,cyclia,Circle axinopsid,,"Amorphous, Aragonite",Aragonite,"Mickelson, personal communication; PSMEP_Benthic_Inverts(Berry 1947)","Lee et al 2006, Weiss et al 2002",Taylor et al 1969,ITIS
8,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Adula,californiensis,"California datemussel, California Pea-Pod Borer",,"Amorphous, Aragonite","Aragonite, Calcite",WSU Beachwatchers,"Lee et al 2006, Weiss et al 2002",Checa et al 2007,ITIS
9,Animalia,Chordata,Aves,Charadriiformes,Podicipedidae,Aechmophorus,occidentalis,Western Grebe,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
10,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,papillosa,Shag rug aeolis,,"Amorphous, Aragonite",No mineralization,Palsson; PSMEP_Benthic_Inverts((Linnaeus 1761)),"Eyster and Morse 1984, Eyster 1986, Hasse et al 2000",California Academy of Sciences,ITIS
11,Animalia,Cnidaria,Hydrozoa,Leptothecatae,Aequoreidae,Aequorea,forskalea,Jellyfish,,No mineralization,No mineralization,Race Rocks,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
12,Animalia,Arthropoda,Maxillopoda,Calanoida,Aetideidae,Aetideus,armatus,,,No mineralization,No mineralization,Damkaer 1964,Assumed no mineralization as none in adult,Fahrenbach 1994,ITIS
13,Animalia,Mollusca,Gastropoda,Basommatophora,Siphonariidae,_intentionally left blank,_intentionally left blank,,,"Amorphous, Aragonite","Aragonite, Calcite","Smith 1976, Harbo's shells + shellfish of PNW","Eyster 1986, Hasse et al 2000","Hedegaard et al 1997, Dodd 1967, Anistratenko 2007",ITIS
14,Animalia,Nematoda,_intentionally left blank,_intentionally left blank,_intentionally left blank,_intentionally left blank,_intentionally left blank,,,No mineralization,No mineralization,"Mickelson, personal communication",Assumed no mineralization as none in adult,UC Museum of Paleontology,ITIS
15,Animalia,Cnidaria,Hydrozoa,Leptothecatae,Sertulariidae,Abietinaria,greenei,Fishbone Hydroid,,No mineralization,No mineralization,Emerald Diving,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
16,Animalia,Cnidaria,Hydrozoa,Leptothecatae,Sertulariidae,Abietinaria,amphora,Hydroid,,No mineralization,No mineralization,Race Rocks,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
17,Animalia,Cnidaria,Hydrozoa,Leptothecatae,Sertulariidae,Abietinaria,rigida,Hydroid,,No mineralization,No mineralization,Race Rocks,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
18,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,spirata,Angled/Angular Unicorn,,"Amorphous, Aragonite",Aragonite,WSU Beachwatchers,"Eyster 1986, Hasse et al 2000",Bandel in Carter 1990,ITIS
19,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,hudsoni,Hudson Dorid,,"Amorphous, Aragonite",Calcite,Emerald Diving,"Eyster 1986, Hasse et al 2000",Cattaneo-Vietti et 1995,ITIS
20,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,nanaimoensis,Wine-plumed Spiny Doris,,"Amorphous, Aragonite",Calcite,Emerald Diving,"Eyster 1986, Hasse et al 2000",Cattaneo-Vietti et 1995,ITIS
21,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,pilosa,Pilose/Hairy Spiny Doris,,"Amorphous, Aragonite",Calcite,Emerald Diving,"Eyster 1986, Hasse et al 2000",Cattaneo-Vietti et 1995,ITIS
22,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Acantholithodes,hispidus,Spiny Lithoid Crab,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",Emerald Diving,"Spicer and Eriksson 2003, McLaughlin Lemaitre2000","Roer and Dillaman 1984, Dillaman 2005, Bosselman; even if no ACC in shell, likely ACC precursor",ITIS
23,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Acanthomysis,hwanhaiensis,,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous","Keister, Yoder (unpublished)",Wilt et al 2003,"Roer and Dillaman 1984, Dillaman 2005, Bosselman; even if no ACC in shell, likely ACC precursor",ITIS
24,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,clausi,,,No mineralization,No mineralization,"Cordell, personal communication",Assumed no mineralization as none in adult,Fahrenbach 1994,ITIS
25,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,longiremis,,,No mineralization,No mineralization,"Cordell, personal communication; PSMEP_Benthic_Inverts((Lilljeborg 1853)á)",Assumed no mineralization as none in adult,Fahrenbach 1994,ITIS
26,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,White sturgeon,,Vertebrate,Vertebrate,Race Rocks,Vertebrate,Vertebrate,ITIS
27,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,medirostris,Green sturgeon,,Vertebrate,Vertebrate,Race Rocks,Vertebrate,Vertebrate,ITIS
28,Animalia,Mollusca,Gastropoda,Patellogastropoda,Acmaeidae,Acmaea,mitra,Whitecap limpet,,"Amorphous, Aragonite","Aragonite, Calcite",Palsson,"Eyster 1986, Hasse et al 2000","Hedegaard et al 1997, Dodd 1967, Anistratenko 2007",ITIS
29,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvellaceae,Acrochaete,geniculata,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
30,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvellaceae,Acrochaete,repens,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
31,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,coalita,Acrosiphonia,,No mineralization,No mineralization,Race Rocks,Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
32,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,arcta,,,Non-CaCO3 mineral,Non-CaCO3 mineral,Scagel et al 1989,Assumed no CaCO3 structures as none in adult,Leilaert and Coppejans 2004,AlgaeBase
33,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,duriuscula,,,Non-CaCO3 mineral,Non-CaCO3 mineral,Scagel et al 1989,Assumed no CaCO3 structures as none in adult,Leilaert and Coppejans 2004,AlgaeBase
34,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,mertensii,,,Non-CaCO3 mineral,Non-CaCO3 mineral,Scagel et al 1989,Assumed no CaCO3 structures as none in adult,Leilaert and Coppejans 2004,AlgaeBase
35,Animalia,Arthropoda,Maxillopoda,Calanoida,Aetideidae,Aetideus,divergens,,,No mineralization,No mineralization,"Keister, Yoder (unpublished); PSMEP_Benthic_Inverts(Bradford 1971)",Assumed no mineralization as none in adult,Fahrenbach 1994,ITIS
36,Animalia,Arthropoda,Maxillopoda,Calanoida,Aetideidae,Aetideus,pacificus,,,No mineralization,No mineralization,"Frost, unpublished",Assumed no mineralization as none in adult,Fahrenbach 1994,ITIS
37,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
38,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,fimbriatum,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
39,Animalia,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Aglaja,ocelligera,Eyespot/Spotted Aglajid,,"Amorphous, Aragonite",Aragonite,Emerald Diving; PSMEP_Benthic_Inverts((Bergh 1893)),"Eyster 1986, Hasse et al 2000",Bandel in Carter 1990,ITIS
40,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,_intentionally left blank,,,No mineralization,No mineralization,"Frost, unpublished",Assumed no mineralization as none in adult,"Chapman 1985, Lowenstam and Weiner 1989",ITIS
41,Animalia,Cnidaria,Hydrozoa,Leptothecatae,Plumulariidae,Aglaophenia,struthionides,Ostrich Plume Hydroid,,No mineralization,No mineralization,Emerald Diving,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
42,Animalia,Cnidaria,Hydrozoa,Leptothecatae,Plumulariidae,Aglaophenia,inconspicua,Hydroid,,No mineralization,No mineralization,Race Rocks,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
43,Animalia,Cnidaria,Hydrozoa,Leptothecatae,Plumulariidae,Aglaophenia,latirostris,Hydroid,,No mineralization,No mineralization,Race Rocks,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
44,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Aglaothamnion,endovagum,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
45,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonopsis,vulsa,Northern spearnose poacher,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
46,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Odontopyxis,trispinosa,Pygmy poacher,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
47,Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,fastigiata,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
48,Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,gigartinoides,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
49,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,sanguinea,Dinoflagellate,,No mineralization,No mineralization,"Rita Horner, personal communication",Assumed no mineralization as none in adult,Lowenstam and Weiner 1989,AlgaeBase
50,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,nana,,,No mineralization,No mineralization,"Race Rocks, Scagel et al 1989",Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
51,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,marginata,Brown algae,,No mineralization,No mineralization,"Race Rocks, Scagel et al 1989",Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
52,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,tenuifolia,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
53,Animalia,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,polyoum,,Non-indigenous,No mineralization,No mineralization,C. Mills,Assumed no mineralization as none in adult,Walla Walla University,ITIS
54,Animalia,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,mytili,,,No mineralization,No mineralization,Thorpe et al 1978,Assumed no mineralization as none in adult,Walla Walla University,ITIS
55,Animalia,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,pedunculatum,Smooth leather bryozoan,,No mineralization,No mineralization,Walla Walla University,Assumed no mineralization as none in adult,Walla Walla University,ITIS
56,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,_intentionally left blank,,Non-indigenous,No mineralization,High Mg Calcite,Emerald Diving,Farrant 1986,"Rhaman and Oomore 2008, Tentori and Allemand 2006",ITIS
57,Animalia,Mollusca,Gastropoda,Nudibranchia,Aldisidae,Aldisa,cooperi,Cooper's Dorid,,"Amorphous, Aragonite",No mineralization,Emerald Diving,"Eyster 1986, Hasse et al 2000",California Academy of Sciences,ITIS
58,Chromista,Miozoa,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,catenella,,,No mineralization,No mineralization,"Rita Horner, personal communication",Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
59,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,American shad,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
60,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Rissoidae,Alvania,compacta,,,"Amorphous, Aragonite",Aragonite,Partridge et al 2005; PSMEP_Benthic_Inverts((Carpenter 1864)),"Eyster 1986, Hasse et al 2000",Bandel in Carter 1990,ITIS
61,Animalia,Annelida,Sedentaria,Canalipalpata,Ampharetidae,Amage,anops,,,No mineralization,No mineralization,Lie 1965; PSMEP_Benthic_Inverts((Johnson 1901)),Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
62,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,hexapterus,Pacific Sand Lance,,Vertebrate,Vertebrate,"Chris Harvey, personal communication; WDFW Subtidal Survey",Vertebrate,Vertebrate,ITIS
63,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,agassizi,,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",Kozloff 1974; PSMEP_Benthic_Inverts((Judd 1896)),Wilt et al 2003,"Roer Dillaman 1984, Dillaman 2005, Bosselman, Raz 2002; even if no ACC in shell, likely ACC precursor",ITIS
64,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,brevisimulata,,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",Kozloff 1974; PSMEP_Benthic_Inverts(J. L. Barnard 1954),Wilt et al 2003,"Roer Dillaman 1984, Dillaman 2005, Bosselman, Raz 2002; even if no ACC in shell, likely ACC precursor",ITIS
65,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,careyi,,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",Kozloff 1974; PSMEP_Benthic_Inverts(Dickinson 1982),Wilt et al 2003,"Roer Dillaman 1984, Dillaman 2005, Bosselman, Raz 2002; even if no ACC in shell, likely ACC precursor",ITIS
66,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,lobata,,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous","Mickelson, personal communication; PSMEP_Benthic_Inverts(Holmes 1908)",Wilt et al 2003,"Roer Dillaman 1984, Dillaman 2005, Bosselman, Raz 2002; even if no ACC in shell, likely ACC precursor",ITIS
67,Animalia,Annelida,Sedentaria,Canalipalpata,Ampharetidae,Ampharete,acutifrons,,,No mineralization,No mineralization,"Laetz et al 1998, Mickelson; PSMEP_Benthic_Inverts((Grube 1860))",Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
68,Animalia,Annelida,Sedentaria,Canalipalpata,Ampharetidae,Ampharete,finmarchica,,,No mineralization,No mineralization,"Mickelson, personal communication; PSMEP_Benthic_Inverts((M. Sars 1864))",Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
69,Animalia,Annelida,Sedentaria,Canalipalpata,Ampharetidae,Ampharete,arctica,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
70,Animalia,Annelida,Sedentaria,Canalipalpata,Ampharetidae,Ampharete,gagarae,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",WoRMS
71,Animalia,Annelida,Sedentaria,Canalipalpata,Ampharetidae,Amphicteis,floridus,,Non-indigenous,No mineralization,No mineralization,C. Mills,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
72,Animalia,Annelida,Sedentaria,Canalipalpata,Ampharetidae,Amphicteis,macronata,,,No mineralization,No mineralization,Lie 1965; PSMEP_Benthic_Inverts(Moore 1923),Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
73,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiodia,urtica,,,Amorphous,"High Mg Calcite, Amorphous",Dawson 1971; PSMEP_Benthic_Inverts((Lyman 1860)),"Politi 2004, Fabry et al 2008","Dickson et al 2004, Dupont et al 08, Clark etal 09",ITIS
74,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiodia,occidentalis,Burrowing Brittle Star,,Amorphous,"High Mg Calcite, Amorphous",Intertidal Marine Invertebrates of South Puget Sound; PSMEP_Benthic_Inverts((Lyman 1860)),"Politi 2004, Fabry et al 2008","Dickson et al 2004, Dupont et al 2008, Clark et al 2009",ITIS
75,Animalia,Nemertea,Enopla,Hoplonemertea,Amphiporidae,Amphiporus,bimaculatus,Two Spotted Ribbon Worm,,Non-CaCO3 mineral,Non-CaCO3 mineral,WSU Beachwatchers,Assumed no CaCO3 structures as none in adult,"Stricker et al 1985, Lowenstem and Weiner 1989",ITIS
76,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,columbiana,Wrinkled Amphissa,,"Amorphous, Aragonite",Aragonite,Emerald Diving; PSMEP_Benthic_Inverts(Dall 1916),"Eyster 1986, Hasse et al 2000",Bandel in Carter 1990,ITIS
77,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,valida,,Non-indigenous,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",C. Mills,Wilt et al 2003,"Roer Dillaman 1984, Dillaman 2005, Bosselman, Raz 2002; even if no ACC in shell, likely ACC precursor",ITIS
78,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Amplisiphonia,pacifica,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
79,Chromista,Miozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Amylax,triacantha,,,No mineralization,No mineralization,"Kimberle Stark, King County, personal communication",Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
80,Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,Analipus,japonicus,Thick Rockweed,,No mineralization,No mineralization,"Race Rocks, Scagel et al 1989",Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
81,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Northern pintail,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
82,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,americana,American wigeon,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
83,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,clypeata,Northern shoveler,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
84,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Green-winged teal,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
85,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,strepera,Gadwall,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
86,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
87,Animalia,Annelida,Sedentaria,Canalipalpata,Ampharetidae,Anobothrus,gracilis,,,No mineralization,No mineralization,"Mickelson, personal communication; PSMEP_Benthic_Inverts((Malmgren 1866))",Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
88,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,insignis,Slender cockscomb,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
89,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,purpurescens,High cockscomb,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
90,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,Sablefish,,Vertebrate,Vertebrate,Harvey et al 2010,Vertebrate,Vertebrate,ITIS
91,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,albifrons,Greater White-fronted Goose,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
92,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,elegantissima,Aggregating Anemone,,No mineralization,No mineralization,Intertidal Marine Invertebrates of South Puget Sound,Medina et al 2006,Medina et al 2006,ITIS
93,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,xanthogrammica,Green Surf Anemone,,No mineralization,No mineralization,Emerald Diving; WDFW Subtidal Survey,Medina et al 2006,Medina et al 2006,ITIS
94,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,Moonglow anemone,,No mineralization,No mineralization,WSU Beachwatchers,Medina et al 2006,Medina et al 2006,ITIS
95,Animalia,Annelida,Errantia,Phyllodocida,Polynoidae,Antinoella,macrolepida,,,No mineralization,No mineralization,Lie 1965; PSMEP_Benthic_Inverts((Moore 1905)),Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
96,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnion,defectum,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
97,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnion,kylinii,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
98,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,pacifica,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
99,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,spirographidis,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
100,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Aphriza,virgata,Surfbird,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
101,Animalia,Porifera,Hexactinellida,Hexactinosida,Aphrocallistidae,Aphrocallistes,vastus,Cloud sponge,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Palsson, Emerald Diving",Assumed no CaCO3 structures as none in adult,Barnes et al 2001,ITIS
102,Animalia,Annelida,Errantia,Phyllodocida,Aphroditidae,Aphrodita,japonica,Sea Mouse,,No mineralization,No mineralization,"Walla Walla University, WSU Beachwatchers; PSMEP_Benthic_Inverts(Marenzeller 1879)",Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
103,Animalia,Annelida,Errantia,Phyllodocida,Aphroditidae,Aphrodita,parva,,,No mineralization,No mineralization,Lie 1965; PSMEP_Benthic_Inverts(Moore 1905),Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
104,Animalia,Annelida,Errantia,Phyllodocida,Aphroditidae,Aphrodita,negligens,,,No mineralization,No mineralization,Lie 1965; PSMEP_Benthic_Inverts(Moore 1905),Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
105,Animalia,Annelida,Errantia,Phyllodocida,Aphroditidae,Aphrodita,longipalpa,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",WoRMS
106,Animalia,Annelida,Errantia,Phyllodocida,Aphroditidae,Aphrodita,refulgida,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
107,Animalia,Annelida,Errantia,Phyllodocida,Aphroditidae,Aphrodita,falcifera,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
108,Animalia,Annelida,Errantia,Phyllodocida,Aphroditidae,Aphrodita,castanea,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
109,Animalia,Annelida,Errantia,Phyllodocida,Aphroditidae,Aphrodita,armifera,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
110,Animalia,Annelida,Sedentaria,Canalipalpata,Apistobranchidae,Apistobranchus,ornatus,,,No mineralization,No mineralization,Lie 1965,Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
111,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidiopsis,pannosum,Mushroom Ascidian,,No mineralization,No mineralization,Emerald Diving,Lowenstam 1989,Lowenstem and Weiner 1989,ITIS
112,Animalia,Chordata,Ascidiacea,Enterogona,Polyclinidae,Aplidium,solidum,Red Ascidian,,No mineralization,No mineralization,Emerald Diving,Lowenstam 1989,Lowenstem and Weiner 1989,ITIS
