Area,Season,event,CAP1,CAP2,mean.TA,mean.DIC,mean.DIC.new.sal,Salinity,Salinity.new,Temperature,Omega.aragonite,pH,pH_new,cluster
San Juan Island,Summer,CP_2017-06-01,-0.5804354223764713,0.6927454065489086,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,2.5203292565226953,8.2,8.25355601432823,1
San Juan Island,Summer,CP_2017-07-01,0.04309661921019073,-0.42863770078763136,2124.6437,1943.3268,1931.206,32.648708,29.242153,11.9,1.9986791960912773,8.1,8.13958002424477,2
San Juan Island,Summer,CP_2017-08-01,-0.2420535596752131,-1.475483962471415,2119.4037,2089.1856,2076.161,29.539185,26.144057,11.4,0.7823029233320437,7.7,7.738823697675051,2
San Juan Island,Summer,CP_2017-09-01,-1.0899372876755522,0.2563181048346123,2145.7348,1983.0959,1968.397,35,30,11.02,1.7890610117229258,8,8.101479662659067,4
San Juan Island,Summer,CP_2018-05-01,-0.332845544780431,0.925375436502294,2138.5464,1960.3559,1945.818,33,28,11.2,1.962438931067946,8.1,8.164831814669467,1
San Juan Island,Summer,CP_2018-07-01,1.2197948282681672,-0.0835227668279115,2135.9375,1922.7358,1908.473,32,27,12,2.3188877114906794,8.1,8.245245100353273,3
San Juan Island,Summer,FH_2017-06-01,0.8281347031013326,0.4601083301026265,1967.3761,1814.6127,1810.205,29.307542,25.48869,11.63,1.7172482355610796,8.1,8.131349642646995,3
San Juan Island,Summer,FH_2017-07-01,0.4674553107607052,-0.37509989210768435,2109.2131,2015.4631,2002.899,29.060797,25.667427,11.25,1.2501669629146128,7.9,7.967377061105245,3
San Juan Island,Summer,FH_2017-08-01,-0.34710934565395957,-1.4935544557818603,2093.1638,2052.0906,2039.298,28.9412,25.548269,11.91,0.8482721353384863,7.7,7.7798355805401656,2
San Juan Island,Summer,FH_2017-09-01,-1.2307764826000076,-0.1577392676981676,2141.6948,2056.864,2041.614,34,29,11.07,1.1537695082282036,7.8,7.901859178595591,4
San Juan Island,Summer,FH_2018-05-01,-0.04218191642975237,1.3691731209345428,2128.3313,1990.4757,1975.71,32,27,10.3,1.6009857181593425,8,8.094811162524028,1
San Juan Island,Summer,FH_2018-07-01,1.6507365990508558,0.04212333380453895,2110.9405,1969.4361,1954.818,30,25,11.8,1.666478311668761,8,8.11306527282431,3
San Juan Island,Summer,LK_2017-06-01,-0.3238705723607187,1.315325480614344,2118.4872,1866.203,1862.752,34.322541,30.314571,11.2,2.614436626890539,8.2,8.269740289128718,1
San Juan Island,Summer,LK_2017-07-01,0.6513954482155074,-0.138968941834589,2153.7481,1914.341,1902.406,30.017573,26.620687,12.3,2.6347782942931324,8.2,8.29291098206565,3
San Juan Island,Summer,LK_2017-08-01,-0.6300692184817862,-1.1169618223098021,2148.6678,2129.2948,2116.019,29.897976,26.501529,10.9,0.7233897925103121,7.6,7.7009764812831305,2
San Juan Island,Summer,LK_2017-09-01,-0.90536837327106,-0.0414699826868453,2165.9256,1978.0328,1963.371,35,30,11.3,2.0261087816235146,8.1,8.153174495961808,4
San Juan Island,Summer,LK_2018-05-01,-0.44176431586960785,0.47911670196111317,2138.8818,1986.5309,1971.803,34,29,11,1.7115257310028624,8,8.09129858788258,1
San Juan Island,Summer,LK_2018-07-01,1.3057985305678006,-0.22884712279707342,2079.8998,1857.1973,1843.42,32,27,12.47,2.387955877724003,8.2,8.266178065066152,3
San Juan Island,Winter,CP_2017-11-01,-0.9854089029741534,0.24900484192968414,2121.4426,2012.1903,1997.276,35,30,9.23,1.3141769412022422,7.9,7.991278797120984,3
San Juan Island,Winter,CP_2018-01-01,0.29535522343823756,-0.7547362520548236,2129.2432,2040.3645,2025.241,35,30,8,1.1500140623494073,7.8,7.948970154039524,2
San Juan Island,Winter,CP_2018-03-01,1.019252253733779,0.9158624670148245,2117.7607,1937.1909,1922.812,30,25,8.8,2.0040405325001993,8.1,8.256983816319424,1
San Juan Island,Winter,FH_2017-11-01,-1.0436845995824462,0.08027140747232134,2106.5905,2039.4518,2024.333,34.5,29.5,9.22,0.9938745874409404,7.8,7.868567887202248,3
San Juan Island,Winter,FH_2018-01-01,0.2697855908679854,-1.3518926927305122,2110.1424,2065.4895,2050.176,34,29,7.98,0.8381855286906135,7.7,7.815730972916528,2
San Juan Island,Winter,FH_2018-03-01,0.6514516434290284,0.658545715810604,2124.4854,2008.4915,1993.588,31,26,9,1.4093155969145974,8,8.06984862083706,1
San Juan Island,Winter,LK_2017-11-01,-0.9917794310246196,0.37302714159684736,2177.8081,2032.2959,2017.232,35,30,9.3,1.63876237851673,8,8.08252141548192,3
San Juan Island,Winter,LK_2018-01-01,0.22055949820344345,-0.8098374996559851,2155.4719,2060.2665,2044.992,34,29,8.13,1.21750334633075,7.9,7.97743176972726,2
San Juan Island,Winter,LK_2018-03-01,0.5644687239087455,0.6397548706170391,2150.6837,1994.6985,1979.91,34,29,8.7,1.7283038765980765,8,8.135033916527812,1
Hood Canal,Summer,LL_2017-05-01,0.6862542137282767,-0.471016692382371,1530.5943,1362.3133,1358.141,23.859148,20.245759,18.1,1.8262773811878996,8.2,8.242807040161091,2
Hood Canal,Summer,LL_2017-06-01,-0.6064582811779108,-0.08635078198213597,1607.2714,1503.273,1493.552,26.100419,22.40251,17.94,1.2245304895297222,7.9,8.006546604183779,3
Hood Canal,Summer,LL_2017-07-01,-0.10166140833445336,1.2369278415594989,1543.3734,1390.4168,1381.749,19.373436,16.015666,16.4,1.753876383442068,8.2,8.306587711233465,1
