event,mean.TA,mean.DIC,mean.DIC.new.sal,Salinity,Salinity.new,Temperature,Area,Omega.aragonite,pH,pH_new,taxa,Normalized.reads
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Acartiidae|Acartia|Acartia longiremis,0.12345238162949822
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Aequoreidae|Aequorea|Aequorea sp. MW-2012,0.0645562716828525
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Agalmatidae|Nanomia|Nanomia bijuga,8.434772453116856e-4
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Apusomonadidae|Thecamonas|Thecamonas trahens,1
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Attheyaceae|Attheya|Attheya longicornis,0.0059174301326455955
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Bacillariaceae|Nitzschia|Nitzschia cf. promare,0.015593160864381252
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Bacillariaceae|Pseudo-nitzschia|NA,0.09129703498798841
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Bacillariaceae|Pseudo-nitzschia|Pseudo-nitzschia delicatissima,0.05975487331823978
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Bacillariaceae|Pseudo-nitzschia|Pseudo-nitzschia hasleana,0.16073558403450228
CP_2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823,Bathycoccaceae|Bathycoccus|Bathycoccus prasinos,0.56362777211034365
