sample,distance_to_centroid
LL_201807B.1,0.5301280556467313
TR_201805A.2,0.4853686366638174
TR_201805A.3,0.46999808391060954
SA_201807A.1,0.6545966724780488
SA_201807B.1,0.45536771006251425
LL_201805B.2,0.49764570443140355
LL_201803B.1,0.4744097488367784
PO_201803A.2,0.5151648400091893
LL_201710_B.3,0.49727186223104886
SA_201803B.1,0.46094841075541515
LL_201803A.3,0.5630280889301417
PO_201805C.2,0.6243174013692224
SA_201805B.2,0.49354464828454775
TR_201805C.2,0.4611713235169514
LL_201805C.2,0.4576393106111431
LL_201710C.3,0.6891067367576617
