MiSeq_Run,sample,Hash,nReads
5,FH_201706A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,149
5,CP_201707B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,899
5,LK_201706C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,259
5,FH_201706C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,418
5,FH_201706B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,290
5,FH_201706A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,137
5,FH_201708C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,252
5,FH_201708B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,16
5,FH_201707A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,570
5,FH_201707B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,565
5,FH_201708A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,431
5,FH_201707A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,288
5,CP_201706B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,486
5,CP_201708A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,267
5,FH_201706B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,303
5,CP_201708A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,437
5,LK_201707C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,516
5,CP_201708B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,168
5,LK_201708A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,121
5,CP_201708C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,173
5,LK_201706B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,164
5,LK_201708C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,239
5,CP_201706A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,675
5,SA_201703B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,12
5,CP_201708B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,333
5,LK_201708A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1301
5,SA_201703C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,77
5,CP_201707A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,210
5,LK_201707B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,824
5,LK_201708C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,268
5,LK_201707B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,453
5,TW_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,10
5,TW_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,103
5,SA_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6290
5,TW_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,17
5,TR_201703A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,269
5,TW_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,10581
5,TR_201711C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6359
5,SA_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,11706
5,TR_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,13403
5,LL_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4288
5,TR_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2280
5,SA_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5440
5,TW_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3129
5,PO_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7208
5,TR_201703B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,612
5,PO_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4421
5,PO_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3050
5,SA_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3865
5,PO_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8436
5,SA_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6091
5,TR_201703A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,29
5,TW_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1239
5,TR_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2548
5,PO_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2477
5,PO_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3125
5,LL_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8813
5,TR_201703C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,458
5,PO_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5478
5,TR_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3472
5,TR_201703C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,123
5,LL_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2357
5,LL_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2822
5,SA_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1784
5,PO_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7916
5,TR_201703B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,668
5,TW_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,93
5,SA_201709C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7419
5,TR_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,439
5,TR_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,9283
5,TW_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8176
5,TR_201709A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,141
