sample,Hash,nReads
FH_201803A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2876
FH_201803B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3196
CP_201803B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4829
LK_201805B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,47
LK_201801B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,8052
CP_201805C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,503
FH_201803C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3986
LK_201801B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,6045
LK_201801A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,8285
LK_201803A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1000
FH_201801B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,7527
CP_201801A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4365
FH_201801A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2945
LK_201803C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4516
Kangaroo.2,11a112ced1c85e620f6d97d82281a1bb58614e67,13
LK_201801B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,8589
FH_201805B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,64
FH_201801C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4133
LK_201803C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3268
FH_201805A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,195
FH_201803C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,3697
LK_201805B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,933
FH_201805A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,83
LK_201805A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1475
CP_201801B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1539
CP_201801C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3181
FH_201803B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3646
LK_201805B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,410
FH_201803B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,3979
